region_id,id,longitude,latitude,mcs_count
1,1,104.0347269,30.69957134,0
1,2,104.0305595,30.70978742,0
1,3,104.0263214,30.72047547,0
1,4,104.0342206,30.72902612,0
1,5,104.0470648,30.68338738,0
1,6,104.0536019,30.69713618,0
1,7,104.0439272,30.70150969,0
1,8,104.0601614,30.7128707,0
1,9,104.051719,30.71395481,0
1,10,104.0594043,30.72289442,0
1,11,104.0719331,30.68476077,0
1,12,104.0677752,30.69275778,0
1,13,104.0744466,30.698904,0
1,14,104.0724073,30.7077421,0
1,15,104.0752957,30.7182722,0
1,16,104.0726122,30.72877633,0
1,17,104.0837786,30.67898948,0
1,18,104.0955804,30.68477078,0
1,19,104.0905011,30.69375591,0
1,20,104.0964091,30.70157235,0
1,21,104.0849628,30.70921566,0
1,22,104.0901365,30.71568107,0
1,23,104.0972263,30.72525281,0
1,24,104.1168331,30.68151346,0
1,25,104.1114367,30.68918535,0
1,26,104.1029729,30.69182549,0
1,27,104.1160884,30.69841283,0
1,28,104.1082409,30.70822304,0
1,29,104.1024601,30.7147478,0
1,30,104.1100123,30.72893369,0
1,31,104.1279019,30.68311736,0
1,32,104.13642,30.69192923,0
1,33,104.1303774,30.70304089,0
1,34,104.1303936,30.71145403,0
1,35,104.135716,30.72188223,0
1,36,104.1545079,30.69707337,0
1,37,104.1435215,30.70471639,0
1,38,104.1606168,30.71272417,0
1,39,104.1519012,30.71504392,0
1,40,104.1612749,30.72599736,0
2,1,104.0974773,30.60157103,0
2,2,104.1002901,30.61952181,0
2,3,104.1031323,30.63896008,0
2,4,104.1060535,30.60507406,0
2,5,104.1065835,30.614247,0
2,6,104.1094135,30.62961922,0
2,7,104.1116667,30.64728212,0
2,8,104.1147635,30.60877017,0
2,9,104.1150148,30.61796257,0
2,10,104.1159437,30.64004541,0
2,11,104.1201999,30.65013934,0
2,12,104.1143162,30.65645242,0
2,13,104.1289821,30.60944799,0
2,14,104.1290888,30.61755493,0
2,15,104.1238424,30.62746958,0
2,16,104.1284568,30.64242529,0
2,17,104.1277109,30.65640768,0
2,18,104.1275488,30.67760055,0
2,19,104.1336012,30.60199511,0
2,20,104.1358273,30.62765142,0
2,21,104.1411752,30.6475039,0
2,22,104.1408017,30.66174736,0
2,23,104.1359148,30.68326376,0
2,24,104.150609,30.61077762,0
2,25,104.1513065,30.6225202,0
2,26,104.144019,30.63329044,0
2,27,104.1498209,30.6417124,0
2,28,104.1484295,30.66556031,0
2,29,104.1438892,30.67431639,0
2,30,104.1480405,30.69199705,0
2,31,104.1517984,30.60178481,0
2,32,104.1572444,30.61684193,0
2,33,104.1607281,30.63974687,0
2,34,104.1563152,30.64695782,0
2,35,104.1590239,30.66054292,0
2,36,104.1542383,30.68160838,0
2,37,104.1604189,30.69042777,0
3,1,103.9868705,30.59801089,0
3,2,103.9963642,30.60423239,0
3,3,104.0129768,30.59747044,0
3,4,104.0090785,30.60586566,0
3,5,104.0033647,30.61454555,0
3,6,104.0086975,30.62402,0
3,7,104.0240586,30.59647771,0
3,8,104.0195988,30.60390188,0
3,9,104.016994,30.61093203,0
3,10,104.0197963,30.62388686,0
3,11,104.0155186,30.63056061,0
3,12,104.0238479,30.63273058,0
3,13,104.0275296,30.6414698,0
3,14,104.0350131,30.5975033,0
3,15,104.0304205,30.60397787,0
3,16,104.0341945,30.61291166,0
3,17,104.0344357,30.62062471,0
3,18,104.0373398,30.63075243,0
3,19,104.0449603,30.63200631,0
3,20,104.0384031,30.63938263,0
3,21,104.0464706,30.59846625,0
3,22,104.0517627,30.61072344,0
3,23,104.0543225,30.61898662,0
3,24,104.0497713,30.62521905,0
3,25,104.0520458,30.63716193,0
3,26,104.0682774,30.59920174,0
3,27,104.0713507,30.60723206,0
3,28,104.0740253,30.61531347,0
3,29,104.0625102,30.61837041,0
